Model run 2021090612Z
Started looking for data at 19:00Z
Data complete at 19:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

HAWKES BAY; Thu 16 Sep 2021; Partly cloudy, then scattered rain for a time. Southerly breezes developing for a time.; Cloudy; Fine;Cloudy;Showers;Cloudy;


WAIRARAPA; Tue 07 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers in the afternoon. Fresh northerlies, rising to strong northwesterlies in the afternoon.; FewShowers; Showers;Showers;Showers;FewShowers;
WAIRARAPA; Wed 08 Sep 2021; A few showers, clearing to fine in the evening. Strong northwesterlies, easing to westerlies in the morning.; FewShowers; FewShowers;Showers;Showers;Fine;
WAIRARAPA; Thu 09 Sep 2021; Fine, apart from isolated showers developing in the morning. Northwesterlies, becoming strong in the morning.; FewShowers; Fine;Wind;Wind;Wind;
WAIRARAPA; Fri 10 Sep 2021; A few showers, becoming more frequent in the afternoon. Gale northwesterlies, becoming strong in the afternoon.; Wind; Wind;Wind;Wind;Showers;
WAIRARAPA; Sat 11 Sep 2021; Mainly fine with isolated showers, clearing in the afternoon. Fresh southwesterlies, easing to light winds in the afternoon.; FewShowers; PartCloudy;PartCloudy;FewShowers;Fine;
WAIRARAPA; Sun 12 Sep 2021; Fine with a few clouds, then isolated showers developing later. Northwesterlies, becoming strong.; Fine; Fine;Fine;Wind;Wind;
WAIRARAPA; Mon 13 Sep 2021; A few showers, becoming rain with heavy falls later. Northwesterlies, becoming gale for a time.; Showers; Showers;Wind;Wind;Rain;
WAIRARAPA; Tue 14 Sep 2021; Rain, easing to a few showers. Southerlies, becoming fresh for a time.; Showers; Rain;Showers;FewShowers;Cloudy;
WAIRARAPA; Wed 15 Sep 2021; Fine with a few clouds. Westerly breezes, rising to fresh northwesterlies later.; Fine; Fine;Cloudy;Fine;Fine;
WAIRARAPA; Thu 16 Sep 2021; Partly cloudy, with a few showers for a time. Southerly breezes developing for a time.; FewShowers; Fine;FewShowers;FewShowers;Fine;


TARANAKI; Tue 07 Sep 2021; Showers, easing in the evening. Strong northerlies, easing to fresh westerlies in the afternoon.; Showers; Showers;WindRain;Showers;FewShowers;
TARANAKI; Wed 08 Sep 2021; A few showers, clearing to fine about the Mountain in the evening. Strong westerlies, easing to southwesterlies in the afternoon.; FewShowers; Rain;Wind;Wind;PartCloudy;
TARANAKI; Thu 09 Sep 2021; Fine with a few clouds, then isolated showers for a time in the afternoon and evening. Westerlies, becoming fresh in the morning.; FewShowers; Fine;FewShowers;FewShowers;PartCloudy;
TARANAKI; Fri 10 Sep 2021; A few showers, becoming rain in the afternoon. Strong northwesterlies, easing to westerlies in the evening.; Wind; FewShowers;Wind;Wind;Rain;
TARANAKI; Sat 11 Sep 2021; Mainly fine with isolated showers, clearing in the afternoon. Southerlies, easing to light winds in the afternoon.; FewShowers; FewShowers;FewShowers;Fine;Fine;
TARANAKI; Sun 12 Sep 2021; Fine with a few clouds, then isolated showers for a time. Northwesterlies.; Fine; Fine;Fine;PartCloudy;Fine;
TARANAKI; Mon 13 Sep 2021; A few showers, becoming more frequent. Strong northwesterlies, easing to westerlies later.; Showers; FewShowers;Wind;Wind;Rain;
TARANAKI; Tue 14 Sep 2021; A few showers, clearing to fine. Southerly breezes, becoming fresh for a time.; FewShowers; FewShowers;FewShowers;Fine;Fine;
TARANAKI; Wed 15 Sep 2021; Mostly cloudy, with fine spells and isolated showers for a time. Westerly breezes developing for a time.; Cloudy; Fine;Cloudy;Fine;PartCloudy;
TARANAKI; Thu 16 Sep 2021; Partly cloudy, becoming fine later. Southwesterlies, easing to light winds.; PartCloudy; Fine;Cloudy;Fine;Fine;


WANGANUI; Tue 07 Sep 2021; Cloudy at first, with a few showers developing in the morning. Fresh northerlies, rising to strong northwesterlies in the afternoon.; Showers; Cloudy;Showers;Showers;FewShowers;
WANGANUI; Wed 08 Sep 2021; Showers, clearing to fine in the evening. Fresh westerlies, easing to a light breeze in the afternoon.; Showers; PartCloudy;Showers;Showers;PartCloudy;
